"Pristype";"Lejlighedstype";"Postnummer";"2023K1";""2023K2";"2023K3";"2023K4";
"Realiseret handelspris";"Ejerlejlighed";"3740 Svaneke";0;0;0;0
"Realiseret handelspris";"Ejerlejlighed";"3751 �stermarie";0;0;0;0
"Realiseret handelspris";"Ejerlejlighed";"3760 Gudhjem";0;..;..;..
"Realiseret handelspris";"Ejerlejlighed";"3770 Allinge";29758;28687;25681;..
"Realiseret handelspris";"Ejerlejlighed";"3782 Klemensker";0;0;0;0
"Realiseret handelspris";"Ejerlejlighed";"3790 Hasle";..;..;..;0
"Realiseret handelspris";"Ejerlejlighed";"4000 Roskilde";27691;28743;30432;30654
"Realiseret handelspris";"Ejerlejlighed";"4030 Tune";..;0;0;0
"Realiseret handelspris";"Ejerlejlighed";"4040 Jyllinge";0;..;0;0
"Realiseret handelspris";"Ejerlejlighed";"4050 Skibby";..;..;..;0
"Realiseret handelspris";"Ejerlejlighed";"4060 Kirke S�by";0;0;..;0
"Realiseret handelspris";"Ejerlejlighed";"4070 Kirke Hyllinge";0;0;0;0
"Realiseret handelspris";"Ejerlejlighed";"4100 Ringsted";16211;..;..;..
"Realiseret handelspris";"Ejerlejlighed";"4130 Viby Sj�lland";..;..;..;0
"Realiseret handelspris";"Ejerlejlighed";"4140 Borup";0;..;0;0
"Realiseret handelspris";"Ejerlejlighed";"4160 Herlufmagle";0;0;0;0
"Realiseret handelspris";"Ejerlejlighed";"4171 Glums�";0;..;0;0
"Realiseret handelspris";"Ejerlejlighed";"4173 Fjenneslev";0;0;0;0
"Realiseret handelspris";"Ejerlejlighed";"4174 Jystrup Midtsj";0;0;0;0
"Realiseret handelspris";"Ejerlejlighed";"4180 Sor�";..;..;..;..
"Realiseret handelspris";"Ejerlejlighed";"4190 Munke Bjergby";0;0;0;0
"Realiseret handelspris";"Ejerlejlighed";"4200 Slagelse";15137;16075;14486;15985
"Realiseret handelspris";"Ejerlejlighed";"4220 Kors�r";9976;8480;7372;7332
"Realiseret handelspris";"Ejerlejlighed";"4230 Sk�lsk�r";..;..;..;..
"Realiseret handelspris";"Ejerlejlighed";"4241 Vemmelev";0;..;0;0
"Realiseret handelspris";"Ejerlejlighed";"4242 Boeslunde";0;0;0;0
"Realiseret handelspris";"Ejerlejlighed";"4243 Rude";0;0;0;0
"Realiseret handelspris";"Ejerlejlighed";"4244 Agers�";0;0;0;0
"Realiseret handelspris";"Ejerlejlighed";"4245 Om�";0;0;0;0
"Realiseret handelspris";"Ejerlejlighed";"4250 Fuglebjerg";0;0;0;0
"Realiseret handelspris";"Ejerlejlighed";"4261 Dalmose";0;0;0;0
"Realiseret handelspris";"Ejerlejlighed";"4262 Sandved";0;0;0;0
"Realiseret handelspris";"Ejerlejlighed";"4270 H�ng";0;0;0;0
"Realiseret handelspris";"Ejerlejlighed";"4281 G�rlev";..;0;..;0
"Realiseret handelspris";"Ejerlejlighed";"4291 Ruds Vedby";0;0;0;0
"Realiseret handelspris";"Ejerlejlighed";"4293 Dianalund";..;0;0;..
"Realiseret handelspris";"Ejerlejlighed";"4295 Stenlille";0;0;0;0
"Realiseret handelspris";"Ejerlejlighed";"4296 Nyrup";0;0;0;0
"Realiseret handelspris";"Ejerlejlighed";"4300 Holb�k";23673;25283;24904;20572
"Realiseret handelspris";"Ejerlejlighed";"4305 Or�";0;0;0;0
"Realiseret handelspris";"Ejerlejlighed";"4320 Lejre";0;..;0;..
"Realiseret handelspris";"Ejerlejlighed";"4330 Hvals�";..;..;0;0
"Realiseret handelspris";"Ejerlejlighed";"4340 T�ll�se";..;0;0;..
"Realiseret handelspris";"Ejerlejlighed";"4350 Ugerl�se";0;0;0;0
"Realiseret handelspris";"Ejerlejlighed";"4360 Kirke Eskilstrup";0;0;0;0
"Realiseret handelspris";"Ejerlejlighed";"4370 Store Merl�se";0;0;0;0
"Realiseret handelspris";"Ejerlejlighed";"4390 Vipper�d";..;0;..;0
"Realiseret handelspris";"Ejerlejlighed";"4400 Kalundborg";..;..;..;..
"Realiseret handelspris";"Ejerlejlighed";"4420 Regstrup";0;0;0;0
"Realiseret handelspris";"Ejerlejlighed";"4440 M�rk�v";0;0;0;0
"Realiseret handelspris";"Ejerlejlighed";"4450 Jyderup";0;0;0;0
"Realiseret handelspris";"Ejerlejlighed";"4460 Snertinge";0;0;0;0
"Realiseret handelspris";"Ejerlejlighed";"4470 Sveb�lle";0;0;0;0
"Realiseret handelspris";"Ejerlejlighed";"4480 Store Fuglede";0;0;0;0
"Realiseret handelspris";"Ejerlejlighed";"4490 Jerslev Sj�lland";0;0;0;0
"Realiseret handelspris";"Ejerlejlighed";"4500 Nyk�bing Sj";..;..;..;..
"Realiseret handelspris";"Ejerlejlighed";"4520 Svinninge";0;0;..;0
"Realiseret handelspris";"Ejerlejlighed";"4532 Gislinge";..;0;0;0
"Realiseret handelspris";"Ejerlejlighed";"4534 H�rve";0;0;0;..
"Realiseret handelspris";"Ejerlejlighed";"4540 F�revejle";0;0;0;0
"Realiseret handelspris";"Ejerlejlighed";"4550 Asn�s";..;..;0;..
"Realiseret handelspris";"Ejerlejlighed";"4560 Vig";0;0;0;0
"Realiseret handelspris";"Ejerlejlighed";"4571 Grevinge";0;0;0;0
"Realiseret handelspris";"Ejerlejlighed";"4572 N�rre Asmindrup";0;0;0;0
"Realiseret handelspris";"Ejerlejlighed";"4573 H�jby";0;..;..;0
"Realiseret handelspris";"Ejerlejlighed";"4581 R�rvig";0;0;0;0
"Realiseret handelspris";"Ejerlejlighed";"4583 Sj�llands Odde";0;0;0;0
"Realiseret handelspris";"Ejerlejlighed";"4591 F�llenslev";0;0;0;0
"Realiseret handelspris";"Ejerlejlighed";"4592 Sejer�";0;0;0;0
"Realiseret handelspris";"Ejerlejlighed";"4593 Eskebjerg";0;0;0;0
"Realiseret handelspris";"Ejerlejlighed";"4600 K�ge";25892;29258;30527;33349
